round,round_id,group,date,home_team,away_team,home_score,away_score,winner,is_knockout,played,match_uid,event_id,status,home_score_ht,away_score_ht,et_home,et_away,pens_home,pens_away,is_neutral_ground
Round of 32,R32,,2026-06-29,1E,3A/3B/3C/3D/3F,,,,True,False,KO|1E|3A/3B/3C/3D/3F,8361,notstarted,,,,,,,False
Round of 32,R32,,2026-06-29,1C,2F,,,,True,False,KO|1C|2F,8360,notstarted,,,,,,,False
Round of 32,R32,,2026-06-30,1I,3C/3D/3F/3G/3H,,,,True,False,KO|1I|3C/3D/3F/3G/3H,8364,notstarted,,,,,,,False
Round of 32,R32,,2026-06-30,2E,2I,,,,True,False,KO|2E|2I,8363,notstarted,,,,,,,False
Round of 32,R32,,2026-06-30,1F,2C,,,,True,False,KO|1F|2C,8362,notstarted,,,,,,,False
Round of 32,R32,,2026-07-01,G1,3A/3E/3H/3I/3J,,,,True,False,KO|3A/3E/3H/3I/3J|G1,8367,notstarted,,,,,,,False
Round of 32,R32,,2026-07-01,1L,3E/3H/3I/3J/3K,,,,True,False,KO|1L|3E/3H/3I/3J/3K,8366,notstarted,,,,,,,False
Round of 32,R32,,2026-07-01,1A,3C/3E/3F/3H/3I,,,,True,False,KO|1A|3C/3E/3F/3H/3I,8365,notstarted,,,,,,,False
Round of 32,R32,,2026-07-02,2K,2L,,,,True,False,KO|2K|2L,8370,notstarted,,,,,,,False
Round of 32,R32,,2026-07-02,H1,2J,,,,True,False,KO|2J|H1,8369,notstarted,,,,,,,False
Round of 32,R32,,2026-07-02,1D,3B/3E/3F/3I/3J,,,,True,False,KO|1D|3B/3E/3F/3I/3J,8368,notstarted,,,,,,,False
Round of 32,R32,,2026-07-03,1J,H2,,,,True,False,KO|1J|H2,8373,notstarted,,,,,,,False
Round of 32,R32,,2026-07-03,2D,G2,,,,True,False,KO|2D|G2,8372,notstarted,,,,,,,False
Round of 32,R32,,2026-07-03,1B,3E/3F/3G/3I/3J,,,,True,False,KO|1B|3E/3F/3G/3I/3J,8371,notstarted,,,,,,,False
Round of 16,R16,,2026-07-04,W74,W77,,,,True,False,KO|W74|W77,8376,notstarted,,,,,,,False
Round of 16,R16,,2026-07-04,W73,W75,,,,True,False,KO|W73|W75,8375,notstarted,,,,,,,False
Round of 32,R32,,2026-07-04,1K,3D/3E/3I/3J/3L,,,,True,False,KO|1K|3D/3E/3I/3J/3L,8374,notstarted,,,,,,,False
Round of 16,R16,,2026-07-05,W76,W78,,,,True,False,KO|W76|W78,8377,notstarted,,,,,,,False
Round of 16,R16,,2026-07-06,W83,W84,,,,True,False,KO|W83|W84,8379,notstarted,,,,,,,False
Round of 16,R16,,2026-07-06,W79,W80,,,,True,False,KO|W79|W80,8378,notstarted,,,,,,,False
