date,home_team,away_team,home_score,away_score,tournament,country,neutral,home_elo,away_elo
2017-09-03,Gibraltar,Bosnia and Herzegovina,0,4,World Cup qualifier,Portugal,True,1086.0,1724.0
2017-09-05,Iraq,United Arab Emirates,1,0,World Cup qualifier,Jordan,True,1564.0,1543.0
2017-10-04,Jordan,Oman,1,1,Friendly,United Arab Emirates,True,1500.0,1455.0
2017-10-05,Syria,Australia,1,1,World Cup qualifier,Malaysia,True,1619.0,1703.0
2017-10-07,Libya,DR Congo,1,2,World Cup qualifier,Tunisia,True,1460.0,1587.0
2017-10-08,El Salvador,Canada,1,0,Friendly,United States,True,1456.0,1523.0
2017-10-10,Mozambique,Cape Verde,1,0,Friendly,Portugal,True,1312.0,1438.0
2017-10-10,Afghanistan,Jordan,3,3,Asian Cup qualifier,Tajikistan,True,1141.0,1484.0
2017-10-10,Morocco,South Korea,3,1,Friendly,Switzerland,True,1651.0,1698.0
2017-11-07,Saudi Arabia,Latvia,2,0,Friendly,Portugal,True,1608.0,1369.0
2017-11-08,Czechia,Iceland,2,1,Friendly tournament,Qatar,True,1702.0,1820.0
2017-11-09,Iran,Panama,2,1,Friendly,Austria,True,1791.0,1665.0
2017-11-10,Brazil,Japan,3,1,Friendly,France,True,2115.0,1747.0
2017-11-13,Iran,Venezuela,1,0,Friendly,Netherlands,True,1800.0,1738.0
2017-11-13,Bulgaria,Saudi Arabia,1,0,Friendly,Portugal,True,1619.0,1596.0
2017-11-14,Nigeria,Argentina,4,2,Friendly,Russia,True,1695.0,1984.0
2017-12-09,China,South Korea,2,2,East Asian Championship,Japan,True,1578.0,1703.0
2017-12-12,South Korea,North Korea,1,0,East Asian Championship,Japan,True,1711.0,1443.0
2017-12-23,Qatar,Yemen,4,0,Gulf Cup,Kuwait,True,1473.0,1208.0
2017-12-23,Bahrain,Iraq,1,1,Gulf Cup,Kuwait,True,1408.0,1549.0
2017-12-25,Saudi Arabia,United Arab Emirates,0,0,Gulf Cup,Kuwait,True,1611.0,1565.0
2017-12-26,Iraq,Qatar,2,1,Gulf Cup,Kuwait,True,1565.0,1457.0
2017-12-28,Oman,Saudi Arabia,2,0,Gulf Cup,Kuwait,True,1516.0,1570.0
2017-12-29,Iraq,Yemen,3,0,Gulf Cup,Kuwait,True,1573.0,1190.0
2017-12-29,Bahrain,Qatar,1,1,Gulf Cup,Kuwait,True,1420.0,1455.0
